tree_id,lon,lat,x,y
200,-73.12246342896876,7.140556457140773,1105500.7303246642,1281479.622126778
201,-73.11783249800251,7.140530284391943,1106012.347148235,1281477.7899670836
202,-73.12070730276838,7.140420803671958,1105694.772733604,1281465.0203692147
203,-73.12163246056636,7.140437277907466,1105592.560408895,1281466.630448946
204,-73.11760456816627,7.140421387102236,1106037.5532293962,1281465.797649085
205,-73.1218822137022,7.1404438187251,1105564.9669676237,1281467.296688835
206,-73.12186494029477,7.140291689125338,1105566.9101677132,1281450.4741316424
207,-73.1222643199434,7.1403622884791655,1105522.7717656798,1281458.1914103543
208,-73.12196116352771,7.140419888149346,1105556.250327222,1281464.6317292796
209,-73.1203676878788,7.140368899470083,1105732.304255333,1281459.3573301597
210,-73.1230207171129,7.14033273217584,1105439.21416183,1281454.749170929
211,-73.12116796896784,7.140261131528495,1105643.916411261,1281447.2539721797
212,-73.12068898606199,7.140287244423013,1105696.8269736986,1281450.2520516794
213,-73.117574080332,7.1403410102055105,1106040.9399495523,1281456.9144505674
214,-73.1225266600428,7.1401153652401055,1105493.845844347,1281430.8200549225
215,-73.12315386179569,7.140347564403455,1105424.5013611524,1281456.3592506603
216,-73.11806764419266,7.140311417178403,1105986.4193070405,1281453.5277311327
217,-73.1202256468135,7.140282267771788,1105748.016416057,1281449.8078917535
218,-73.12052016743516,7.140027381211758,1105715.5372145607,1281421.5482164698
219,-73.12085686675859,7.14027303566521,1105678.2832928442,1281448.641971948
220,-73.12046790120394,7.140269719319506,1105721.2557748242,1281448.3643719945
221,-73.11635562802701,7.140232560513027,1106175.575955755,1281445.1997325225
222,-73.12273842541629,7.140264885542613,1105470.4164032675,1281447.3094921706
223,-73.11750397303787,7.1402213980668945,1106048.7127499103,1281443.7006927729
224,-73.12291394842103,7.140200495841449,1105451.039922375,1281440.1474133658
225,-73.12023231560144,7.140217026859131,1105747.2946560238,1281442.590292958
226,-73.11758689517181,7.140220566652381,1106039.5519494885,1281443.5896527914
227,-73.11944741704087,7.140177750968584,1105834.016900019,1281438.426293653
228,-73.12313357580376,7.140193922685641,1105426.777681257,1281439.3701334954
229,-73.11931275562803,7.14016743217872,1105848.8962607046,1281437.3158938384
230,-73.11835032179705,7.14019354243622,1105955.217065603,1281440.4250133194
231,-73.12110537905545,7.140151072629983,1105650.8564115807,1281435.0950942088
232,-73.11743482585693,7.140123372164774,1106056.3745102633,1281432.8742945795
233,-73.11792539093759,7.140085741672863,1106002.186987767,1281428.5992552931
234,-73.12137480218203,7.140123521204736,1105621.0976902097,1281431.985974728
235,-73.12310512524684,7.140099997322564,1105429.942321403,1281428.9878952282
236,-73.11943516363873,7.140028643561853,1105835.404900083,1281421.9368564049
237,-73.11640066685916,7.140083070525939,1106170.6346755275,1281428.6547752838
238,-73.11767982300304,7.140000399850992,1106029.3362690178,1281419.216376859
239,-73.11763494261243,7.14007409450578,1106034.2775492454,1281427.3778154969
240,-73.11916477208288,7.140038623254533,1105865.2746614593,1281423.1027762103
241,-73.11735278629959,7.139941994206036,1106065.479790683,1281412.8315779245
242,-73.11751189640913,7.140036693562492,1106047.8799498721,1281423.2693361826
243,-73.11657525546144,7.139985050139361,1106151.36923464,1281417.7728570998
244,-73.1221776903495,7.139970078476436,1105532.4322461248,1281414.830297591
245,-73.11734105816406,7.140023287191792,1106066.7567507417,1281421.8258164234
246,-73.11927538856486,7.14001174715315,1105853.0602608966,1281420.1046967106
247,-73.11744307803316,7.140021993575511,1106055.4861902224,1281421.6592564513
248,-73.1180276535367,7.139967993880001,1105990.9164272477,1281415.5520574704
249,-73.11646217124493,7.139990336194532,1106163.8612352153,1281418.383576998
250,-73.11651102815381,7.139937732239024,1106158.4757949673,1281412.5539779707
251,-73.12095545775762,7.139987123020006,1105667.4568923456,1281416.9955772297
